Neochlamydia,Legionella,Sample.ID,Sample.Name,Qubit.Concentration..ng.uL.,Legiolert..MPN.mL.,Legionella.pneumophila.ddPCR..copies.mL.,Neochlamydia.ddPCR..copies.mL.,Copper,waterorbiofilm,realorcontrol,Jar,sample-id,non-chimeric
0.002596653,0.001586844,O1 2/5,0 ppb Cu Replicate 1 (2/5),0.336,78.8,4.795748624,130.6333365,0,w,r,O1 2/5,GSC41166-O12-5,6932
0.002034089,0.000280564,R2 2/5,0 ppb Cu Replicate 2 (2/5),0.156,1,0,160.3701923,0,w,r,R2 2/5,GSC41167-R22-5,14257
0.005935599,0,G3 2/5,0 ppb Cu Replicate 3 (2/5),0.22,7.4,0,124.7432938,0,w,r,G3 2/5,GSC41168-G32-5,13478
0.002632839,0.002991862,O1 2/8,0 ppb Cu Replicate 1 (2/8),0.3,112.7,8.402105504,141.3003173,0,w,r,O1 2/8,GSC41169-O12-8,8356
0.00068266,0.000195046,R2 2/8,0 ppb Cu Replicate 2 (2/8),0.314,1,0,96.65254854,0,w,r,R2 2/8,GSC41170-R22-8,10254
0.005516841,0,G3 2/8,0 ppb Cu Replicate 3 (2/8),0.132,5.2,0,757.282469,0,w,r,G3 2/8,GSC41171-G32-8,6888
0.00294858,0.002588997,O1 2/12,0 ppb Cu Replicate 1 (2/12),0.091,112.7,1.970048745,395.7251973,0,w,r,O1 2/12,GSC41172-O12-12,13905
0.002459716,0,R2 2/12,0 ppb Cu Replicate 2 (2/12),0.278,1,0,879.9499936,0,w,r,R2 2/12,GSC41173-R22-12,19921
0.006847439,0,G3 2/12,0 ppb Cu Replicate 3 (2/12),0.028,2.3,0,276.2051026,0,w,r,G3 2/12,GSC41174-G32-12,7302
0.009863286,0.000141918,B1 2/5,4 ppb Cu Replicate 1 (2/5),0.045,1,0,117.2964904,4,w,r,B1 2/5,GSC41175-B12-5,42278
0.004975124,0,O3 2/5,4 ppb Cu Replicate 2 (2/5),0.028,1,0,96.46190028,4,w,r,O3 2/5,GSC41176-O32-5,12060
0.00959785,0.000111975,R3 2/5,4 ppb Cu Replicate 3 (2/5),0.035,14.6,0,119.3609842,4,w,r,R3 2/5 ,GSC41177-R32-5,62514
0.003727094,0,B1 2/8,4 ppb Cu Replicate 1 (2/8),0.037,1,0,98.92871916,4,w,r,B1 2/8,GSC41178-B12-8,9659
0.003326349,0,O3 2/8,4 ppb Cu Replicate 2 (2/8),0.194,1,0,548.3129833,4,w,r,O3 2/8,GSC41179-O32-8,38180
0.005069667,4.91E-05,R3 2/8,4 ppb Cu Replicate 3 (2/8),0.053,10.4,8.402105504,172.0081369,4,w,r,R3 2/8,GSC41180-R32-8,61148
0.008602699,0,B1 2/12,4 ppb Cu Replicate 1 (2/12),0.43,1,0,1833.994504,4,w,r,B1 2/12,GSC41181-B12-12,62771
0.01130589,0.000119368,O3 2/12,4 ppb Cu Replicate 2 (2/12),0.026,1,0,124.1169934,4,w,r,O3 2/12,GSC41182-O32-12,58642
0.008619185,0,R3 2/12,4 ppb Cu Replicate 3 (2/12),0.0535,12.3,0,176.571448,4,w,r,R3 2/12,GSC41183-R32-12,45828
0.006762137,0.000175465,R1 2/5,30 ppb Cu Replicate 1 (2/5),0.0605,1,0,226.6120447,30,w,r,R1 2/5,GSC41184-R12-5,74089
0.01263111,0.000125198,G2 2/5,30 ppb Cu Replicate 2 (2/5),0.0655,1,0,330.8223252,30,w,r,G2 2/5,GSC41185-G22-5,71886
0.044560037,0.000448419,Y2 2/5,30 ppb Cu Replicate 3 (2/5),0.0515,65.9,2.584103675,597.3072813,30,w,r,Y2 2/5 ,GSC41186-Y22-5,78052
0.007031484,0,R1 2/8,30 ppb Cu Replicate 1 (2/8),0.12,1.1,0,379.8526916,30,w,r,R1 2/8,GSC41187-R12-8,63429
0.009659492,6.33E-05,G2 2/8,30 ppb Cu Replicate 2 (2/8),0.145,1,0,768.0448956,30,w,r,G2 2/8,GSC41188-G22-8,94829
